平成31年1月1日住民基本台帳人口・世帯数、平成30年（1月1日から同年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,（単位：人、世帯、％）
団体コード,都道府県名,市区町村名,平成31年,,,,平成30年,,,,,,,,,,,,,,,,,
,,,人口,,,世帯数,住民票記載数,,,,,,住民票消除数,,,,,,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,都道府県名,市区町村名,男,女,人,,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,,,,,,
402079,福岡県,柳川市,"31,461","34,977","66,438","25,664","1,633",118,"1,751",434,21,"2,206","1,958",44,"2,002",942,66,"3,010",-804,-1.20 ,-508,-0.76 ,-296,-0.44 
402109,福岡県,八女市,"30,092","33,667","63,759","24,843","1,562",526,"2,088",456,19,"2,563","2,292",99,"2,391","1,008",42,"3,441",-878,-1.36 ,-552,-0.85 ,-326,-0.50 
402117,福岡県,筑後市,"23,659","25,658","49,317","19,449","1,973",415,"2,388",447,19,"2,854","2,149",100,"2,249",566,58,"2,873",-19,-0.04 ,-119,-0.24 ,100,0.20 
402125,福岡県,大川市,"16,365","17,998","34,363","13,613",899,36,935,222,20,"1,177","1,118",22,"1,140",507,11,"1,658",-481,-1.38 ,-285,-0.82 ,-196,-0.56 
402133,福岡県,行橋市,"35,252","38,199","73,451","32,712","3,051",207,"3,258",613,49,"3,920","2,852",52,"2,904",811,114,"3,829",91,0.12 ,-198,-0.27 ,289,0.39 
402141,福岡県,豊前市,"12,124","13,517","25,641","11,782",689,39,728,136,10,874,786,74,860,408,5,"1,273",-399,-1.53 ,-272,-1.04 ,-127,-0.49 
402150,福岡県,中間市,"19,596","22,469","42,065","20,556","1,545",80,"1,625",252,52,"1,929","1,608",62,"1,670",601,36,"2,307",-378,-0.89 ,-349,-0.82 ,-29,-0.07 
402168,福岡県,小郡市,"28,481","31,254","59,735","24,563","2,604",375,"2,979",386,41,"3,406","2,621",101,"2,722",521,51,"3,294",112,0.19 ,-135,-0.23 ,247,0.41 
402176,福岡県,筑紫野市,"49,724","54,129","103,853","44,650","5,000",273,"5,273",908,64,"6,245","4,928",237,"5,165",859,99,"6,123",122,0.12 ,49,0.05 ,73,0.07 
402184,福岡県,春日市,"54,866","58,359","113,225","48,782","6,567",240,"6,807",896,82,"7,785","6,547",154,"6,701",812,87,"7,600",185,0.16 ,84,0.07 ,101,0.09 
402192,福岡県,大野城市,"48,674","52,259","100,933","43,839","5,666",842,"6,508","1,035",77,"7,620","6,287",185,"6,472",696,60,"7,228",392,0.39 ,339,0.34 ,53,0.05 
