令和2年1月1日住民基本台帳人口・世帯数、令和元年（平成31年1月1日から令和元年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,（単位：人、世帯、％）
団体コード,都道府県名,市区町村名,令和2年,,,,令和元年,,,,,,,,,,,,,,,,,
,,,人口,,,世帯数,住民票記載数,,,,,,住民票消除数,,,,,,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,都道府県名,市区町村名,男,女,人,,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,,,,,,
414409,佐賀県,藤津郡,"4,172","4,542","8,714","3,210",166,24,190,48,8,246,256,14,270,141,11,422,-176,-1.98 ,-93,-1.05 ,-83,-0.93 
414417,佐賀県,藤津郡太良町,"4,172","4,542","8,714","3,210",166,24,190,48,8,246,256,14,270,141,11,422,-176,-1.98 ,-93,-1.05 ,-83,-0.93 
420000,長崎県,,"636,703","714,066","1,350,769","633,853","42,819","4,344","47,163","9,638",379,"57,180","50,349","2,709","53,058","17,699","1,045","71,802","-14,622",-1.07 ,"-8,061",-0.59 ,"-6,561",-0.48 
422011,長崎県,長崎市,"192,494","223,911","416,405","207,211","10,910","1,434","12,344","2,782",113,"15,239","13,872","1,045","14,917","5,244",472,"20,633","-5,394",-1.28 ,"-2,462",-0.58 ,"-2,932",-0.70 
422029,長崎県,佐世保市,"118,175","131,506","249,681","122,014","8,370",666,"9,036","1,951",61,"11,048","9,803",387,"10,190","3,282",265,"13,737","-2,689",-1.07 ,"-1,331",-0.53 ,"-1,358",-0.54 
422037,長崎県,島原市,"21,038","23,968","45,006","19,834","1,303",131,"1,434",315,10,"1,759","1,383",76,"1,459",627,51,"2,137",-378,-0.83 ,-312,-0.69 ,-66,-0.15 
422045,長崎県,諫早市,"64,709","71,970","136,679","60,382","4,590",697,"5,287","1,051",1,"6,339","5,164",229,"5,393","1,612",38,"7,043",-704,-0.51 ,-561,-0.41 ,-143,-0.10 
422053,長崎県,大村市,"46,421","50,542","96,963","43,584","4,778",131,"4,909",888,26,"5,823","4,234",73,"4,307",869,13,"5,189",634,0.66 ,19,0.02 ,615,0.64 
422070,長崎県,平戸市,"14,596","16,305","30,901","14,001",757,97,854,185,7,"1,046","1,049",45,"1,094",563,18,"1,675",-629,-1.99 ,-378,-1.20 ,-251,-0.80 
422088,長崎県,松浦市,"10,916","11,617","22,533","10,166",626,32,658,132,4,794,797,41,838,363,26,"1,227",-433,-1.89 ,-231,-1.01 ,-202,-0.88 
422096,長崎県,対馬市,"15,032","15,345","30,377","15,087","1,157",62,"1,219",198,13,"1,430","1,541",34,"1,575",458,25,"2,058",-628,-2.03 ,-260,-0.84 ,-368,-1.19 
422100,長崎県,壱岐市,"12,648","13,791","26,439","11,682",762,27,789,144,4,937,849,23,872,443,10,"1,325",-388,-1.45 ,-299,-1.11 ,-89,-0.33 
422118,長崎県,五島市,"17,327","19,377","36,704","19,822","1,245",39,"1,284",197,17,"1,498","1,229",28,"1,257",618,11,"1,886",-388,-1.05 ,-421,-1.14 ,33,0.09 
